# Tray seeding data for the sample database.
#
# Tray seeding logs from FarmData for for Jan 1, 2019 to July 15, 2020.
# The fields are:
# 0  "id"
# 1  "username"
# 2  "seedDate"
# 3  "crop"
# 4  "numseeds_planted"
# 5  "flats"
# 6  "cells/flat"
# 7  "varities"
# 8  "gen"
# 9  "comments"
# 10 blank due to trailing comma
#
# Notes:
#  - records with multiple seed codes in the varities field will be split into
#    multiple seeding logs asspciated with the same planting.
#  - there is no labor data on tray seedings
#  - there is no area associated with a tray seeding

"971","nelsonw","2019-02-15","CHARD","128","1","128","Seed Code: CD-19-3-OG (IMPROVED RAINBOW BLEND) - 128 seeds","1","",
"972","nelsonw","2019-02-15","SCALLION","1536","4","128","Seed Code: SN-18-1-UT (WHITE SPEAR) - 01536 seeds","1","",
"973","nelsonw","2019-02-15","ONION, FRESH","1000","3.5","288","Seed Code: OG-19-2-OG (AILSA CRAIG) - 1000 seeds","1","",
"975","nelsonw","2019-02-18","ONION STORAGE","6048","21","288","Seed Code: OE-19-2-OG (CORTLAND) - 1440 seeds;Seed Code: OE-19-1-OG (RED WING) - 3168 seeds;Seed Code: OE-19-3-UT (PATTERSON) - 1440 seeds","1","",
"976","nelsonw","2019-02-19","HERB - MARJORAM","128","128","128","Seed Code: HM-19-1-OG (SWEET MARJORAM) - 128 seeds","1","",
"977","nelsonw","2019-02-19","HERB - THYME","128","1","128","Seed Code: HE-19-1-OG (WINTER THYME) - 128 seeds","1","",
"978","nelsonw","2019-02-19","HERB - PARSLEY","144","2","72","Seed Code: HY-17-3-UT (GIANT OF ITALY) - 72 seeds;Seed Code: HY-17-4-UT (MOSS CURLED) - 72 seeds","1","",
"979","nelsonw","2019-02-19","LEEK","3840","30","128","Seed Code: LK-17-1-OG (KING RICHARD) - 1152 seeds;Seed Code: LK-17-6-OG (TADORNA) - 1664 seeds;Seed Code: LK-19-1-OG (TAKRIMA) - 1024 seeds","1","",
"980","nelsonw","2019-02-19","COLLARDS","144","2","72","Seed Code: CS-18-3-UT (FLASH) - 144 seeds","1","",
"981","nelsonw","2019-02-19","KALE","144","2","128","Seed Code: KE-18-2-OG (TOSCANO) - 72 seeds;Seed Code: KE-19-2-OG (VATES) - 72 seeds","1","",
"982","nelsonw","2019-02-19","SCALLION","1536","4","128","Seed Code: SN-18-1-UT (WHITE SPEAR) - 1536 seeds","1","",
"983","nelsonw","2019-02-19","LETTUCE, GREEN","432","3","72","Seed Code: LN-16-3-OG (WALDMANN) - 432 seeds","1","",
"984","nelsonw","2019-02-19","LETTUCE, RED","288","2","72","Seed Code: LD-19-1-OG (RED SAILS) - 288 seeds","1","",
"985","nelsonw","2019-02-19","LETTUCE, ROMAINE","288","2","72","Seed Code: LE-17-3-OG (GREEN TOWERS) - 288 seeds","1","",
"986","nelsonw","2019-02-25","HERB - OREGANO","128","1","128","Seed Code: N/A (No Variety) - 128 seeds","1","",
"987","nelsonw","2019-02-25","HERB - SAGE","128","1","128","Seed Code: N/A (No Variety) - 128 seeds","1","",
"988","nelsonw","2019-02-25","BOKCHOY","128","1","128","Seed Code: BY-18-1-UT (MEI QING) - 128 seeds","1","",
"989","nelsonw","2019-02-25","CHARD","384","2","128","Seed Code: CD-18-3-OG (IMPROVED RAINBOW BLEND) - 256 seeds;Seed Code: CD-19-2-OG (RHUBARB SUPREME) - 128 seeds","1","",
"990","nelsonw","2019-02-25","HERB - CHIVES","256","2","128","Seed Code: HS-19-1-OG (STARO) - 128 seeds;Seed Code: HS-19-2-UT (CHINESE LEEKS/GARLIC CHIVES) - 128 seeds","1","",
"991","horowitk","2019-03-04","ENDIVE","132","1","128","Seed Code: EE-19-1-OG (BENEFINE) - 132 seeds","1","",
"992","horowitk","2019-03-04","HERB - PARSLEY","198","2","72","Seed Code: HY-17-4-UT (MOSS CURLED) - 99 seeds;Seed Code: HY-17-3-UT (GIANT OF ITALY) - 99 seeds","1","",
